,batting_position,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Country
0,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00,Namibia
1,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00,Namibia
2,3,Jan Nicol Loftie-Eaton,c (WK)Mendis b Karunaratne,20,12,18,1,2,166.66,Namibia
3,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,Namibia
4,5,Gerhard Erasmus(c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,Namibia
5,6,Jan Frylinck,run out (Gunathilaka/(WK)Mendis),44,28,44,4,0,157.14,Namibia
6,7,David Wiese,c (WK)Mendis b Theekshana,0,1,4,0,0,0.00,Namibia
7,8,JJ Smit,not out ,31,16,29,2,2,193.75,Namibia
8,1,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.00,Sri Lanka
9,2,Kusal Mendis(WK),c (WK)Green b Wiese,6,6,8,0,0,100.00,Sri Lanka
10,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09,Sri Lanka
11,4,Danushka Gunathilaka,c (WK)Green b Shikongo,0,1,2,0,0,0.00,Sri Lanka
12,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23,Sri Lanka
13,6,Dasun Shanaka(c),c (WK)Green b Frylinck,29,23,37,2,1,126.08,Sri Lanka
14,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00,Sri Lanka
15,8,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.50,Sri Lanka
16,9,Pramod Madushan,run out (van Lingen/(WK)Green),0,0,4,0,0,-,Sri Lanka
17,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33,Sri Lanka
18,11,Maheesh Theekshana,not out ,11,11,14,0,1,100.00,Sri Lanka
19,1,Chirag Suri,c (WK)Edwards b van der Merwe,12,20,28,1,0,60.00,United Arab Emirates
20,2,Muhammad Waseem,c Pringle b Klaassen,41,47,71,1,2,87.23,United Arab Emirates
21,3,Kashif Daud, b Pringle,15,14,19,0,1,107.14,United Arab Emirates
22,4,Vriitya Aravind(WK),c Klaassen b de Leede,18,21,37,0,0,85.71,United Arab Emirates
23,5,Zawar Farid,run out (Ackermann/(WK)Edwards),2,4,8,0,0,50.00,United Arab Emirates
24,6,Basil Hameed,c van der Merwe b de Leede,4,4,7,1,0,100.00,United Arab Emirates
25,7,Chundangapoyil Rizwan(c), b de Leede,1,2,7,0,0,50.00,United Arab Emirates
26,8,Aayan Afzal Khan,c Cooper b Klaassen,5,7,8,0,0,71.42,United Arab Emirates
27,9,Karthik Meiyappan,not out ,0,0,4,0,0,-,United Arab Emirates
28,10,Junaid Siddique,not out ,0,1,1,0,0,0.00,United Arab Emirates
29,1,Vikramjit Singh, b Basil Hameed,10,7,8,2,0,142.85,Netherlands
30,2,Max O'Dowd, b Junaid Siddique,23,18,25,3,1,127.77,Netherlands
31,3,Bas de Leede,c Rizwan b Meiyappan,14,18,37,1,0,77.77,Netherlands
32,4,Colin Ackermann,c Junaid Siddique b Aayan Afzal Khan,17,19,33,1,0,89.47,Netherlands
33,5,Tom Cooper,lbw b Junaid Siddique,8,16,22,0,0,50.00,Netherlands
34,6,Scott Edwards(c)(WK),not out ,16,19,42,0,0,84.21,Netherlands
35,7,Roelof van der Merwe, b Junaid Siddique,0,2,4,0,0,0.00,Netherlands
36,8,Tim Pringle, b Zahoor Khan,15,16,26,0,0,93.75,Netherlands
37,9,Logan van Beek,not out ,4,4,7,0,0,100.00,Netherlands
38,1,George Munsey,not out ,66,53,106,9,0,124.52,Scotland
39,2,Michael Jones, b Holder,20,17,36,3,0,117.64,Scotland
40,3,Matthew Cross(WK),c Brooks b Holder,3,5,10,0,0,60.00,Scotland
41,4,Richie Berrington(c),c Mayers b Joseph,16,14,21,0,1,114.28,Scotland
42,5,Calum MacLeod,c King b Smith,23,14,15,4,0,164.28,Scotland
43,6,Michael Leask, b Joseph,4,6,8,0,0,66.66,Scotland
44,7,Chris Greaves,not out ,16,11,19,2,0,145.45,Scotland
45,1,Kyle Mayers,c Munsey b Davey,20,13,12,3,1,153.84,West Indies
46,2,Evin Lewis,c Jones b Wheal,14,13,30,1,1,107.69,West Indies
47,3,Brandon King, b Watt,17,15,24,3,0,113.33,West Indies
48,4,Nicholas Pooran(c)(WK), b Leask,5,9,14,0,0,55.55,West Indies
49,5,Shamarh Brooks,c Leask b Wheal,4,9,24,0,0,44.44,West Indies
50,6,Rovman Powell,c MacLeod b Leask,5,6,12,0,0,83.33,West Indies
51,7,Jason Holder,c Greaves b Sharif,38,33,37,4,1,115.15,West Indies
52,8,Akeal Hosein,run out ((WK)Cross/Leask),1,1,4,0,0,100.00,West Indies
53,9,Alzarri Joseph,c (WK)Cross b Watt,0,1,4,0,0,0.00,West Indies
54,10,Odean Smith,c Greaves b Watt,5,8,14,0,0,62.50,West Indies
55,11,Obed McCoy,not out ,2,3,10,0,0,66.66,West Indies
56,1,Regis Chakabva(WK),c (WK)Tucker b Little,0,2,3,0,0,0.00,Zimbabwe
57,2,Craig Ervine(c),st (WK)Tucker b Simi Singh,9,12,28,1,0,75.00,Zimbabwe
58,3,Wessly Madhevere,c Delany b Little,22,19,22,4,0,115.78,Zimbabwe
59,4,Sean Williams,c Tector b Simi Singh,12,11,24,0,1,109.09,Zimbabwe
60,5,Sikandar Raza, b Adair,82,48,72,5,5,170.83,Zimbabwe
61,6,Milton Shumba,c Little b Adair,16,14,26,1,0,114.28,Zimbabwe
62,7,Ryan Burl,c Adair b Little,1,4,9,0,0,25.00,Zimbabwe
63,8,Luke Jongwe,not out ,20,10,14,3,0,200.00,Zimbabwe
64,1,Paul Stirling, b Ngarava,0,2,3,0,0,0.00,Ireland
65,2,Andy Balbirnie(c),c Ervine b Muzarabani,3,4,20,0,0,75.00,Ireland
66,3,Lorcan Tucker(WK), b Ngarava,11,11,10,2,0,100.00,Ireland
67,4,Harry Tector,c Ervine b Muzarabani,1,4,5,0,0,25.00,Ireland
68,5,Curtis Campher, b Williams,27,22,41,1,0,122.72,Ireland
69,6,George Dockrell, b Sikandar Raza,24,20,25,3,0,120.00,Ireland
70,7,Gareth Delany,c Shumba b Chatara,24,20,23,1,1,120.00,Ireland
71,8,Mark Adair,c Sikandar Raza b Muzarabani,9,10,18,0,1,90.00,Ireland
72,9,Simi Singh, b Chatara,0,1,1,0,0,0.00,Ireland
73,10,Barry McCarthy,not out ,22,16,23,1,2,137.50,Ireland
74,11,Josh Little,not out ,7,11,17,1,0,63.63,Ireland
75,1,Michael van Lingen,c de Leede b Ackermann,20,19,20,3,0,105.26,Namibia
76,2,Divan la Cock,c de Leede b Pringle,0,2,5,0,0,0.00,Namibia
77,3,Stephan Baard,c Klaassen b van der Merwe,19,22,46,0,0,86.36,Namibia
78,4,Jan Nicol Loftie-Eaton,c (WK)Edwards b van Meekeren,0,2,3,0,0,0.00,Namibia
79,5,Jan Frylinck,c van Meekeren b de Leede,43,48,63,1,1,89.58,Namibia
80,6,Gerhard Erasmus(c), b de Leede,16,18,37,0,0,88.88,Namibia
81,7,David Wiese,not out ,11,5,8,1,0,220.00,Namibia
82,8,JJ Smit,not out ,5,4,6,1,0,125.00,Namibia
83,1,Max O'Dowd,run out (Erasmus),35,35,59,1,1,100.00,Netherlands
84,2,Vikramjit Singh,c Loftie-Eaton b Scholtz,39,31,37,3,2,125.80,Netherlands
85,3,Bas de Leede,not out ,30,30,51,2,0,100.00,Netherlands
86,4,Tom Cooper,c van Lingen b Smit,6,6,7,1,0,100.00,Netherlands
87,5,Colin Ackermann,c Erasmus b Smit,0,2,2,0,0,0.00,Netherlands
88,6,Scott Edwards(c)(WK),c Loftie-Eaton b Frylinck,1,5,5,0,0,20.00,Netherlands
89,7,Tim Pringle,not out ,8,9,14,0,0,88.88,Netherlands
90,1,Pathum Nissanka,c Basil Hameed b Zahoor Khan,74,60,105,6,2,123.33,Sri Lanka
91,2,Kusal Mendis(WK),lbw b Aryan Lakra,18,13,24,2,0,138.46,Sri Lanka
92,3,Dhananjaya de Silva,run out (Muhammad Waseem/Aayan Afzal Khan),33,21,30,3,1,157.14,Sri Lanka
93,4,Bhanuka Rajapaksa,c Kashif Daud b Meiyappan,5,8,19,0,0,62.50,Sri Lanka
94,5,Charith Asalanka,c (WK)Aravind b Meiyappan,0,1,2,0,0,0.00,Sri Lanka
95,6,Dasun Shanaka(c), b Meiyappan,0,1,2,0,0,0.00,Sri Lanka
96,7,Wanindu Hasaranga de Silva,c Basil Hameed b Aayan Afzal Khan,2,3,3,0,0,66.66,Sri Lanka
97,8,Chamika Karunaratne,c Kashif Daud b Zahoor Khan,8,11,22,1,0,72.72,Sri Lanka
98,9,Pramod Madushan,not out ,1,1,4,0,0,100.00,Sri Lanka
99,10,Dushmantha Chameera,not out ,1,1,2,0,0,100.00,Sri Lanka
100,1,Muhammad Waseem, b Chameera,2,4,13,0,0,50.00,United Arab Emirates
101,2,Chirag Suri, b Pramod Madushan,14,19,31,3,0,73.68,United Arab Emirates
102,3,Aryan Lakra, b Chameera,1,3,4,0,0,33.33,United Arab Emirates
103,4,Chundangapoyil Rizwan(c),c Rajapaksa b Chameera,1,3,8,0,0,33.33,United Arab Emirates
104,5,Vriitya Aravind(WK),lbw b PWH de Silva,9,18,26,1,0,50.00,United Arab Emirates
105,6,Basil Hameed,c DM de Silva b Shanaka,2,6,14,0,0,33.33,United Arab Emirates
106,7,Aayan Afzal Khan, b PWH de Silva,19,21,33,1,0,90.47,United Arab Emirates
107,8,Kashif Daud,lbw b PWH de Silva,0,4,8,0,0,0.00,United Arab Emirates
108,9,Karthik Meiyappan,st (WK)Mendis b Theekshana,4,8,11,0,0,50.00,United Arab Emirates
109,10,Junaid Siddique,c Nissanka b Theekshana,18,16,22,1,1,112.50,United Arab Emirates
110,11,Zahoor Khan,not out ,1,1,15,0,0,100.00,United Arab Emirates
111,1,George Munsey,lbw b Adair,1,2,9,0,0,50.00,Scotland
112,2,Michael Jones,c Adair b Little,86,55,95,6,4,156.36,Scotland
113,3,Matthew Cross(WK),c McCarthy b Campher,28,21,33,5,0,133.33,Scotland
114,4,Richie Berrington(c),c Dockrell b Campher,37,27,39,3,1,137.03,Scotland
115,5,Michael Leask,not out ,17,13,19,2,0,130.76,Scotland
116,6,Calum MacLeod,run out ((WK)Tucker),0,3,6,0,0,0.00,Scotland
117,1,Paul Stirling,c (WK)Cross b Sharif,8,10,22,1,0,80.00,Ireland
118,2,Andy Balbirnie(c),c Jones b Wheal,14,12,15,2,0,116.66,Ireland
119,3,Lorcan Tucker(WK),c Davey b Watt,20,17,28,2,0,117.64,Ireland
120,4,Harry Tector,c Greaves b Leask,14,16,23,1,0,87.50,Ireland
121,5,Curtis Campher,not out ,72,32,48,7,2,225.00,Ireland
122,6,George Dockrell,not out ,39,27,42,4,1,144.44,Ireland
123,1,Kyle Mayers,c (WK)Chakabva b Muzarabani,13,12,17,2,0,108.33,West Indies
124,2,Johnson Charles,run out (Munyonga/Williams),45,36,60,3,2,125.00,West Indies
125,3,Evin Lewis,c Shumba b Sikandar Raza,15,18,28,1,0,83.33,West Indies
126,4,Nicholas Pooran(c)(WK),c & b Williams,7,9,10,0,0,77.77,West Indies
127,5,Rovman Powell,c Ngarava b Muzarabani,28,21,40,1,2,133.33,West Indies
128,6,Shamarh Brooks,lbw b Sikandar Raza,0,3,5,0,0,0.00,West Indies
129,7,Jason Holder,c & b Sikandar Raza,4,3,3,0,0,133.33,West Indies
130,8,Akeal Hosein,not out ,23,18,31,2,0,127.77,West Indies
131,9,Odean Smith,not out ,1,2,2,0,0,50.00,West Indies
132,1,Wessly Madhevere,c Lewis b Holder,27,19,37,3,1,142.10,Zimbabwe
133,2,Regis Chakabva(c)(WK), b Joseph,13,9,14,3,0,144.44,Zimbabwe
134,3,Tony Munyonga, b Joseph,2,6,12,0,0,33.33,Zimbabwe
135,4,Sean Williams,c (WK)Pooran b McCoy,1,2,4,0,0,50.00,Zimbabwe
136,5,Sikandar Raza,c Powell b Smith,14,8,12,1,1,175.00,Zimbabwe
137,6,Milton Shumba,c Brooks b Hosein,2,9,20,0,0,22.22,Zimbabwe
138,7,Ryan Burl,lbw b Holder,17,19,30,3,0,89.47,Zimbabwe
139,8,Luke Jongwe, b Joseph,29,22,31,3,1,131.81,Zimbabwe
140,9,Richard Ngarava, b Joseph,2,6,11,0,0,33.33,Zimbabwe
141,10,Tendai Chatara, b Holder,3,8,12,0,0,37.50,Zimbabwe
142,11,Blessing Muzarabani,not out ,1,4,4,0,0,25.00,Zimbabwe
143,1,Pathum Nissanka, b van Meekeren,14,21,25,0,1,66.66,Sri Lanka
144,2,Kusal Mendis(WK),c sub (LV van Beek) b van der Gugten,79,44,94,5,5,179.54,Sri Lanka
145,3,Dhananjaya de Silva,lbw b van Meekeren,0,1,2,0,0,0.00,Sri Lanka
146,4,Charith Asalanka,c (WK)Edwards b de Leede,31,30,38,3,0,103.33,Sri Lanka
147,5,Bhanuka Rajapaksa,c Pringle b de Leede,19,13,18,2,0,146.15,Sri Lanka
148,6,Dasun Shanaka(c),c Ackermann b Klaassen,8,5,9,0,1,160.00,Sri Lanka
149,7,Wanindu Hasaranga de Silva,not out ,5,4,8,0,0,125.00,Sri Lanka
150,8,Chamika Karunaratne,not out ,2,2,4,0,0,100.00,Sri Lanka
151,1,Max O'Dowd,not out ,71,53,99,6,3,133.96,Netherlands
152,2,Vikramjit Singh,c Shanaka b Theekshana,7,14,18,0,0,50.00,Netherlands
153,3,Bas de Leede,c (WK)Mendis b Kumara,14,10,12,1,1,140.00,Netherlands
154,4,Colin Ackermann,c & b PWH de Silva,0,1,4,0,0,0.00,Netherlands
155,5,Tom Cooper, b Theekshana,16,19,23,2,0,84.21,Netherlands
156,6,Scott Edwards(c)(WK), b Fernando,21,15,16,3,0,140.00,Netherlands
157,7,Tim Pringle,run out (DM de Silva),2,4,8,0,0,50.00,Netherlands
158,8,Timm van der Gugten, b PWH de Silva,0,1,2,0,0,0.00,Netherlands
159,9,Fred Klaassen, b PWH de Silva,3,3,5,0,0,100.00,Netherlands
160,10,Paul van Meekeren,run out (Shanaka),0,0,4,0,0,-,Netherlands
161,11,Roelof van der Merwe,not out ,0,1,14,0,0,0.00,Netherlands
162,1,Muhammad Waseem,c Trumpelmann b Shikongo,50,41,66,1,3,121.95,United Arab Emirates
163,2,Vriitya Aravind(WK),c van Lingen b Scholtz,21,32,34,2,0,65.62,United Arab Emirates
164,3,Chundangapoyil Rizwan(c),not out ,43,29,55,3,1,148.27,United Arab Emirates
165,4,Alishan Sharafu,c (WK)Green b Wiese,4,4,10,0,0,100.00,United Arab Emirates
166,5,Basil Hameed,not out ,25,14,13,2,2,178.57,United Arab Emirates
167,1,Michael van Lingen,c Sharafu b Basil Hameed,10,8,14,1,0,125.00,Namibia
168,2,Stephan Baard,c Ahmed Raza b Junaid Siddique,4,6,9,1,0,66.66,Namibia
169,3,Jan Nicol Loftie-Eaton,lbw b Basil Hameed,1,6,17,0,0,16.66,Namibia
170,4,Gerhard Erasmus(c), b Meiyappan,16,18,23,2,0,88.88,Namibia
171,5,Jan Frylinck, b Zahoor Khan,14,17,33,1,0,82.35,Namibia
172,6,JJ Smit,run out (Meiyappan/Ahmed Raza),3,3,3,0,0,100.00,Namibia
173,7,David Wiese,c Sharafu b Muhammad Waseem,55,36,65,3,3,152.77,Namibia
174,8,Zane Green(WK), b Zahoor Khan,2,3,3,0,0,66.66,Namibia
175,9,Ruben Trumpelmann,not out ,25,24,43,1,1,104.16,Namibia
176,10,Bernard Scholtz,not out ,1,1,-,0,0,100.00,Namibia
177,1,Kyle Mayers,c Tector b McCarthy,1,5,12,0,0,20.00,West Indies
178,2,Johnson Charles,c Campher b Simi Singh,24,18,22,3,1,133.33,West Indies
179,3,Evin Lewis,c Adair b Delany,13,18,42,0,0,72.22,West Indies
180,4,Brandon King,not out ,62,48,80,6,1,129.16,West Indies
181,5,Nicholas Pooran(c)(WK),c Tector b Delany,13,11,16,0,1,118.18,West Indies
182,6,Rovman Powell,c Tector b Delany,6,8,12,1,0,75.00,West Indies
183,7,Odean Smith,not out ,19,12,18,1,2,158.33,West Indies
184,1,Paul Stirling,not out ,66,48,79,6,2,137.50,Ireland
185,2,Andy Balbirnie(c),c Mayers b Hosein,37,23,34,3,3,160.86,Ireland
186,3,Lorcan Tucker(WK),not out ,45,35,46,2,2,128.57,Ireland
187,1,George Munsey,c Shumba b Ngarava,54,51,74,7,0,105.88,Scotland
188,2,Michael Jones,c Sikandar Raza b Chatara,4,5,6,1,0,80.00,Scotland
189,3,Matthew Cross(WK),c Madhevere b Ngarava,1,7,15,0,0,14.28,Scotland
190,4,Richie Berrington(c),c Shumba b Sikandar Raza,13,15,24,0,0,86.66,Scotland
191,5,Calum MacLeod,c Jongwe b Chatara,25,26,46,1,0,96.15,Scotland
192,6,Michael Leask, b Muzarabani,12,9,11,2,0,133.33,Scotland
193,7,Chris Greaves,not out ,3,7,10,0,0,42.85,Scotland
194,8,Josh Davey,not out ,4,3,3,0,0,133.33,Scotland
195,1,Regis Chakabva(WK),lbw b Wheal,4,3,3,1,0,133.33,Zimbabwe
196,2,Craig Ervine(c),c MacLeod b Watt,58,54,79,6,0,107.40,Zimbabwe
197,3,Wessly Madhevere, b Davey,0,5,8,0,0,0.00,Zimbabwe
198,4,Sean Williams,c Wheal b Leask,7,12,28,0,0,58.33,Zimbabwe
199,5,Sikandar Raza,c (WK)Cross b Davey,40,23,34,3,2,173.91,Zimbabwe
200,6,Milton Shumba,not out ,11,11,16,0,0,100.00,Zimbabwe
201,7,Ryan Burl,not out ,9,5,7,1,0,180.00,Zimbabwe
202,1,Finn Allen, b Hazlewood,42,16,24,5,3,262.50,New Zealand
203,2,Devon Conway(WK),not out ,92,58,106,7,2,158.62,New Zealand
204,3,Kane Williamson(c),lbw b Zampa,23,23,48,1,1,100.00,New Zealand
205,4,Glenn Phillips,c & b Hazlewood,12,10,16,2,0,120.00,New Zealand
206,5,James Neesham,not out ,26,13,19,0,2,200.00,New Zealand
207,1,David Warner, b Southee,5,6,7,1,0,83.33,Australia
208,2,Aaron Finch(c),c Williamson b Santner,13,11,20,1,1,118.18,Australia
209,3,Mitchell Marsh,c Neesham b Southee,16,12,17,2,1,133.33,Australia
210,4,Glenn Maxwell, b Sodhi,28,20,47,3,1,140.00,Australia
211,5,Marcus Stoinis,c Phillips b Santner,7,14,16,0,0,50.00,Australia
212,6,Tim David,c Neesham b Santner,11,8,12,0,1,137.50,Australia
213,7,Matthew Wade(WK),c (WK)Conway b Ferguson,2,4,10,0,0,50.00,Australia
214,8,Pat Cummins,c (WK)Conway b Southee,21,18,27,2,1,116.66,Australia
215,9,Mitchell Starc, b Boult,4,7,13,0,0,57.14,Australia
216,10,Adam Zampa, b Boult,0,2,3,0,0,0.00,Australia
217,11,Josh Hazlewood,not out ,1,1,6,0,0,100.00,Australia
218,1,Hazratullah Zazai,c Livingstone b Stokes,7,17,31,1,0,41.17,Afghanistan
219,2,Rahmanullah Gurbaz(WK),c (WK)Buttler b Wood,10,9,13,0,1,111.11,Afghanistan
220,3,Ibrahim Zadran,c Ali b Curran,32,32,41,3,1,100.00,Afghanistan
221,4,Usman Ghani,c Livingstone b Curran,30,30,60,3,0,100.00,Afghanistan
222,5,Najibullah Zadran,c Rashid b Stokes,13,11,15,0,1,118.18,Afghanistan
223,6,Mohammad Nabi(c),c (WK)Buttler b Wood,3,5,7,0,0,60.00,Afghanistan
224,7,Azmatullah Omarzai,c Stokes b Curran,8,6,11,1,0,133.33,Afghanistan
225,8,Rashid Khan,c Hales b Curran,0,1,2,0,0,0.00,Afghanistan
226,9,Mujeeb Ur Rahman,c & b Woakes,0,1,3,0,0,0.00,Afghanistan
227,10,Fareed Ahmad,not out ,2,4,7,0,0,50.00,Afghanistan
228,11,Fazalhaq Farooqi,c Malan b Curran,0,2,3,0,0,0.00,Afghanistan
229,1,Jos Buttler(c)(WK),c Mujeeb Ur Rahman b Fazalhaq Farooqi,18,18,25,3,0,100.00,England
230,2,Alex Hales,c Fazalhaq Farooqi b Fareed Ahmad,19,20,41,0,1,95.00,England
231,3,Dawid Malan,c Mohammad Nabi b Mujeeb Ur Rahman,18,30,40,0,0,60.00,England
